KU501216|103344|NA|2015_12_01|Human|Guatemala|NA|Zika_virus	2015-12-01
KX262887|103451|NA|2016_01_06|Human|Honduras|Asian|Zika_virus	2016-01-06
MF073359|15098|NA|2015_03_01|Human|Brazil|Asian|Zika_virus	2015-03-01
MK566202|15098|NA|2015_03|Unknown|Brazil|Asian|Zika_virus	2015-03
MF073358|15261|NA|2015_06_01|Human|Brazil|Asian|Zika_virus	2015-06-01
MN025403|15555|NA|2018_08|Human|Guinea|West_African|Zika_virus	2018-08
MF073357|16288|NA|2016_02_01|Human|Brazil|Asian|Zika_virus	2016-02-01
KU758877|17271|NA|2015_12|Human|French_Guiana|Asian|Zika_virus	2015-12
KR872956|17829|NA|2015|Human|Brazil|Asian|Zika_virus	2015
MK238035|17844|NA|2018_09_18|Human|India|Asian|Zika_virus	2018-09-18
KX447511|1_0015_PF|NA|2014_01|Human|French_Polynesia|Asian|Zika_virus	2014-01
KX447515|1_0030_PF|NA|2013_11|Human|French_Polynesia|Asian|Zika_virus	2013-11
KX447514|1_0035_PF|NA|2014_01|Human|French_Polynesia|Asian|Zika_virus	2014-01
KX447517|1_0038_PF|NA|2014_01|Human|French_Polynesia|Asian|Zika_virus	2014-01
KX447510|1_0049_PF|NA|2013_12|Human|French_Polynesia|Asian|Zika_virus	2013-12
KX447509|1_0087_PF|NA|2013_12|Human|French_Polynesia|Asian|Zika_virus	2013-12
KX447516|1_0111_PF|NA|2014_01|Human|French_Polynesia|Asian|Zika_virus	2014-01
KX447513|1_0134_PF|NA|2013_12|Human|French_Polynesia|Asian|Zika_virus	2013-12
KX447512|1_0181_PF|NA|2013_12|Human|French_Polynesia|Asian|Zika_virus	2013-12
KX906952|2016\HND\19563|NA|2016_04_16|Human|Honduras|Asian|Zika_virus	2016-04-16
MN611472|2019YNZIKV02|NA|2019_07_01|Human|China|Asian|Zika_virus	2019-07-01
MK238037|20366|NA|2018_10_10|Human|India|Asian|Zika_virus	2018-10-10
MK238038|21993|NA|2018_10_15|Human|India|Asian|Zika_virus	2018-10-15
MH900227|31N|NA|2016|Mosquito|Mexico|Asian|Zika_virus	2016
MH544701|459148_Meta_Colombia_2016|NA|2016_01_17|Unknown|Colombia|Asian|Zika_virus	2016-01-17
KU501217|8375|NA|2015_11_01|Human|Guatemala|NA|Zika_virus	2015-11-01
KX197205|9|NA|2015_12_01|Human|Brazil|Asian|Zika_virus	2015-12-01
MN473451|96623|NA|2016|Human|Canada|Asian|Zika_virus	2016
MN473452|96624|NA|2016|Human|Canada|Asian|Zika_virus	2016
MN473453|96625|NA|2016|Human|Canada|Asian|Zika_virus	2016
MN473454|96626|NA|2016|Human|Canada|Asian|Zika_virus	2016
MK049247|Aedes_aegypti/COL/FH04/2016|NA|2016_01_29|Mosquito|Colombia|Asian|Zika_virus	2016-01-29
KY553111|AFMC_U|NA|2016_04|Human|South_Korea|Asian|Zika_virus	2016-04
MK216692|AMA13|NA|2016_04_01|Human|Brazil|Asian|Zika_virus	2016-04-01
MK216695|AMA16|NA|2016_04_05|Human|Brazil|Asian|Zika_virus	2016-04-05
MK216696|AMA19|NA|2016_04_08|Human|Brazil|Asian|Zika_virus	2016-04-08
MK216687|AMA2|NA|2016_02_19|Human|Brazil|Asian|Zika_virus	2016-02-19
MK216697|AMA20|NA|2016_04_26|Human|Brazil|Asian|Zika_virus	2016-04-26
MK216698|AMA21|NA|2016_04_25|Human|Brazil|Asian|Zika_virus	2016-04-25
MK216699|AMA22|NA|2016_05_16|Human|Brazil|Asian|Zika_virus	2016-05-16
MK216745|AMA302|NA|2015_12_08|Human|Brazil|Asian|Zika_virus	2015-12-08
MK216710|AMA41|NA|2016_02_03|Human|Brazil|Asian|Zika_virus	2016-02-03
MK216713|AMA45|NA|2016_01_08|Human|Brazil|Asian|Zika_virus	2016-01-08
MK216688|AMA5|NA|2016_03_10|Human|Brazil|Asian|Zika_virus	2016-03-10
MK216727|AMA65|NA|2016_01_30|Human|Brazil|Asian|Zika_virus	2016-01-30
MK216743|AMA88|NA|2017_03_28|Human|Brazil|Asian|Zika_virus	2017-03-28
MK216741|AMA89|NA|2017_03_28|Human|Brazil|Asian|Zika_virus	2017-03-28
MK216690|AMA9|NA|2016_03_18|Human|Brazil|Asian|Zika_virus	2016-03-18
MK216742|AMA90|NA|2017_03_29|Human|Brazil|Asian|Zika_virus	2017-03-29
KF268948|ARB13565|NA|1976|Mosquito|Central_African_Republic|NA|Zika_virus	1976
KU365780|BeH815744|NA|2015|Human|Brazil|NA|Zika_virus	2015
KU729218|BeH818305|NA|2015|Human|Brazil|Asian|Zika_virus	2015
KU365777|BeH818995|NA|2015|Human|Brazil|NA|Zika_virus	2015
KU365778|BeH819015|NA|2015|Human|Brazil|NA|Zika_virus	2015
KU365779|BeH819966|NA|2015|Human|Brazil|NA|Zika_virus	2015
KU729217|BeH823339|NA|2015|Human|Brazil|Asian|Zika_virus	2015
MG548660|BKK03|NA|2016_11_30|Human|Thailand|Asian|Zika_virus	2016-11-30
MG548661|BKK04|NA|2016_11_30|Human|Thailand|Asian|Zika_virus	2016-11-30
MH013290|BKK07|NA|2017_10_01|Human|Thailand|Asian|Zika_virus	2017-10-01
KY631492|BR/AM/16800005|NA|2016_01_08|Human|Brazil|Asian|Zika_virus	2016-01-08
MH513598|BR/Sinop/H355/2015|NA|2015_12_09|Human|Brazil|Asian|Zika_virus	2015-12-09
MH513600|BR/Sinop/H366_2P/2015|NA|2015_12_11|Human|Brazil|Asian|Zika_virus	2015-12-11
MH513599|BR/Sinop/H366/2015|NA|2015_12_11|Human|Brazil|Asian|Zika_virus	2015-12-11
KY441403|BR_SJRP1840|NA|2016_01_11|Human|Brazil|Asian|Zika_virus	2016-01-11
KY441401|BR_SJRP21|NA|2016_02_29|Human|Brazil|Asian|Zika_virus	2016-02-29
KY441402|BR_SJRP61|NA|2016_04_05|Human|Brazil|Asian|Zika_virus	2016-04-05
KU497555|Brazil_ZKV2015|NA|2015_11_30|Human|Brazil|Asian|Zika_virus	2015-11-30
KU991811|Brazil/2016/INMI1|NA|2016_03_06|Human|Italy|Asian|Zika_virus	2016-03-06
KX811222|Brazil_2015_MG|NA|2016_06_14|Unknown|Brazil|Asian|Zika_virus	2016-06-14
MK049245|COL/FH02/2016|NA|2016_02_29|Human|Colombia|Asian|Zika_virus	2016-02-29
MK049246|COL/FH03/2016|NA|2016_03_09|Human|Colombia|Asian|Zika_virus	2016-03-09
MK049248|COL/FH05/2016|NA|2016_07_27|Human|Colombia|Asian|Zika_virus	2016-07-27
MK049252|COL/FH07/2016|NA|2016_05_16|Human|Colombia|Asian|Zika_virus	2016-05-16
MK049249|COL/FH09/2016|NA|2016_11_02|Human|Colombia|Asian|Zika_virus	2016-11-02
MH179341|COL345Si|NA|2015_12_10|Mosquito|Colombia|Asian|Zika_virus	2015-12-10
MH675625|CTS_178_16p|NA|2016_08|Human|Puerto_Rico|Asian|Zika_virus	2016-08
MH675626|CTS_183_16p|NA|2016_08|Human|Puerto_Rico|Asian|Zika_virus	2016-08
MH675627|CTS_193_16p|NA|2016_08|Human|Puerto_Rico|Asian|Zika_virus	2016-08
MH675628|CTS_223_16p|NA|2016_08|Human|Puerto_Rico|Asian|Zika_virus	2016-08
MH675619|CTS_30_16p|NA|2016_05|Human|Puerto_Rico|Asian|Zika_virus	2016-05
MH675620|CTS_36_16p|NA|2016_05|Human|Puerto_Rico|Asian|Zika_virus	2016-05
MH675621|CTS_47_16p|NA|2016_05|Human|Puerto_Rico|Asian|Zika_virus	2016-05
MH675622|CTS_50_16p|NA|2016_06|Human|Puerto_Rico|Asian|Zika_virus	2016-06
MH675623|CTS_56_16p|NA|2016_06|Human|Puerto_Rico|Asian|Zika_virus	2016-06
MH675624|CTS_61_16p|NA|2016_06|Human|Puerto_Rico|Asian|Zika_virus	2016-06
MG645981|CVD_06_274|NA|2006_10_28|Human|Thailand|Asian|Zika_virus	2006-10-28
MH119185|DMSc05684_16|NA|2016_12_01|Human|Thailand|Asian|Zika_virus	2016-12-01
KU853012|Dominican_Republic/2016/PD1|NA|2016_02_01|Human|Italy|Asian|Zika_virus	2016-02-01
KU853013|Dominican_Republic/2016/PD2|NA|2016_02_01|Human|Italy|Asian|Zika_virus	2016-02-01
MF664436|Dominican_Republic/2016/ZB|NA|2016_08_25|Human|Russia|Asian|Zika_virus	2016-08-25
MF098766|Dominican_Rep_Rus_5RMN_2016|NA|2016_05_31|Human|Russia|Asian|Zika_virus	2016-05-31
MF098768|Dominican_Rep_Rus_7EGR_2016|NA|2016_08_25|Human|Russia|Asian|Zika_virus	2016-08-25
MF098769|Dominican_Rep_Rus_8ZBR_2016|NA|2016_08_25|Human|Russia|Asian|Zika_virus	2016-08-25
KY631494|ENCB165P4|NA|2015_10_15|Human|Mexico|Asian|Zika_virus	2015-10-15
KU870645|FB_GWUH_2016|NA|2016_02_02|Human|USA|Asian|Zika_virus	2016-02-02
KY693676|FHT1166/HON/2016|NA|2016_08_26|Human|Honduras|Asian|Zika_virus	2016-08-26
KY693677|FHT1175/HON/2016|NA|2016_08_26|Human|Honduras|Asian|Zika_virus	2016-08-26
KY989971|FLA|NA|2015_12|Human|Colombia|Asian|Zika_virus	2015-12
KU820897|FLR|NA|2015_12|Human|Colombia|Asian|Zika_virus	2015-12
MK269354|FLSR077|NA|2016_08_20|Human|USA|Asian|Zika_virus	2016-08-20
MK269360|FLSR103|NA|2016_08_09|Human|USA|Asian|Zika_virus	2016-08-09
MK269353|FLSR118|NA|2016_08_28|Human|USA|Asian|Zika_virus	2016-08-28
MK269357|FLUR096|NA|2016_09_03|Human|USA|Asian|Zika_virus	2016-09-03
MK269359|FLUR100|NA|2016_08_18|Human|USA|Asian|Zika_virus	2016-08-18
KY693678|FPI15198/PERU/Loreto/2016|NA|2016_06_28|Human|Peru|Asian|Zika_virus	2016-06-28
KY693679|FPI15263/PERU/Loreto/2016|NA|2016_07_11|Human|Peru|Asian|Zika_virus	2016-07-11
MN185326|French_Guiana_Aedes_aegypti_T1010|NA|2016|Mosquito|French_Guiana|Asian|Zika_virus	2016
MN185328|French_Guiana_Aedes_aegypti_T1141|NA|2016|Mosquito|French_Guiana|Asian|Zika_virus	2016
EU545988|FSM|NA|2007_06|Human|Micronesia|NA|Zika_virus	2007-06
MH158236|FSS13025|NA|2010|Human|Cambodia|Asian|Zika_virus	2010
MH368551|FSS13025|NA|2016_06_14|Unknown|Cambodia|Asian|Zika_virus	2016-06-14
KY693680|FVM00318/VEN/Maracay/2016|NA|2016_10_19|Human|Venezuela|Asian|Zika_virus	2016-10-19
KU740184|GD01|NA|2016_02|Human|China|Asian|Zika_virus	2016-02
KU761564|GDZ16001|NA|2016_02_12|Human|China|Asian|Zika_virus	2016-02-12
MF167360|GDZ16021|NA|2016_02_26|Human|China|Asian|Zika_virus	2016-02-26
MN185327|Guadeloupe_Aedes_aegypti_T1044|NA|2016|Mosquito|Guadeloupe|Asian|Zika_virus	2016
MN185329|Guadeloupe_Aedes_aegypti_T1506|NA|2016|Mosquito|Guadeloupe|Asian|Zika_virus	2016
MN185332|Guadeloupe_Aedes_aegypti_T633|NA|2016|Mosquito|Guadeloupe|Asian|Zika_virus	2016
MN185324|Guadeloupe_Aedes_aegypti_T905|NA|2016|Mosquito|Guadeloupe|Asian|Zika_virus	2016
MN185325|Guadeloupe_Aedes_aegypti_T910_2|NA|2016|Mosquito|Guadeloupe|Asian|Zika_virus	2016
MN185330|Guadeloupe_Aedes_aegypti_T912|NA|2016|Mosquito|Guadeloupe|Asian|Zika_virus	2016
